Date,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,9180.962890625,29893183716,9312.45,9225.31,8942.96,8697.55,8120.61,8113.8,8894.35,9263.59,9125.62,8790.38,8709.89,8444.71,8338.34,8329.13,55.16,60.93,59.49,473.21,537.82,530.16,335.24,346.54,337.33,640.82,700.74,683.19,502.85,509.46,490.36,15.48,51.12,71.07,78.22,79.62,85.22
2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,9613.423828125,35222060874,9365.03,9326.97,8987.44,8759.03,8180.07,8117.37,8888.58,9380.2,9200.67,8851.35,8768.18,8490.54,8363.59,8341.91,71.21,68.22,63.38,528.85,534.83,529.9,349.32,347.46,339.73,702.4,701.29,687.03,522.87,513.93,496.86,85.07,53.43,93.87,81.59,95.55,86.99
2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,9729.8017578125,37628823716,9432.41,9408.97,9027.48,8811.23,8229.13,8120.39,8884.24,9496.73,9282.07,8916.42,8830.22,8539.14,8390.65,8355.72,74.12,69.86,64.34,580.31,549.99,539.98,365.65,353.53,344.91,760.48,721.02,701.72,545.82,524.56,506.65,86.68,62.41,93.91,86.28,95.48,90.22
2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,9795.943359375,34522718159,9522.73,9452.7,9070.14,8868.43,8280.99,8126.29,8881.5,9596.47,9361.13,8981.57,8892.52,8588.43,8418.47,8370.05,75.75,70.77,64.88,614.9,571.63,554.96,379.56,362.2,351.84,801.35,747.8,721.65,566.01,538.38,518.52,94.63,88.79,97.48,95.09,97.88,96.3
2020-02-08,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,9865.119140625,35172043762,9637.05,9507.55,9128.08,8934.63,8333.92,8132.95,8881.32,9686.02,9438.67,9047.02,8955.27,8638.49,8447.12,8384.93,77.47,71.74,65.44,639.0,594.08,571.77,391.65,372.02,359.8,831.46,775.69,743.61,584.11,553.62,531.64,98.48,93.26,99.25,96.88,99.38,97.58
2020-02-09,9863.89453125,10129.435546875,9850.392578125,10116.673828125,10116.673828125,35807884663,9824.19,9568.32,9201.03,8999.64,8392.43,8141.51,8882.85,9829.57,9542.97,9126.25,9030.2,8696.46,8480.18,8402.16,82.7,74.99,67.43,703.32,630.5,598.08,416.72,386.92,371.19,904.89,818.75,775.87,618.29,575.18,548.97,98.74,97.28,99.17,98.63,99.38,98.88
2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,9856.611328125,39386548075,9872.83,9618.93,9256.57,9060.27,8439.33,8146.82,8882.57,9838.58,9591.23,9180.35,9083.52,8741.96,8507.44,8416.63,64.62,66.48,63.52,658.23,639.74,610.11,410.88,394.91,379.13,862.13,833.21,793.12,614.78,588.38,562.13,70.64,89.29,75.41,91.28,84.73,94.5
2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,10208.236328125,37648059389,9968.52,9700.47,9332.94,9127.47,8496.38,8156.55,8884.26,9961.8,9686.15,9256.49,9156.08,8799.46,8541.12,8434.46,73.69,71.24,66.26,705.31,661.6,629.15,429.66,406.49,389.23,916.91,861.11,817.88,641.26,606.01,577.96,99.83,89.74,99.84,91.47,99.91,94.67
2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,10326.0546875,43444303830,10074.54,9798.63,9428.91,9200.19,8556.45,8165.69,8888.5,10083.22,9784.6,9335.72,9231.56,8859.33,8576.46,8453.28,76.09,72.64,67.12,747.5,690.23,652.82,448.88,420.62,401.16,967.16,896.46,847.73,668.54,626.85,596.07,92.09,87.52,94.73,89.99,96.82,93.82
2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,10214.3798828125,49356071373,10144.39,9890.72,9517.36,9246.42,8615.23,8174.41,8891.81,10126.94,9850.72,9400.8,9294.97,8912.46,8608.9,8470.81,69.13,69.2,65.48,726.14,702.2,667.48,449.92,430.39,410.91,949.86,914.26,868.16,673.64,642.45,611.59,68.76,86.89,81.91,92.16,88.9,95.21
2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,10312.1162109375,43338264162,10183.48,10003.84,9614.57,9296.59,8676.7,8183.92,8895.77,10188.67,9921.7,9468.31,9360.59,8967.35,8642.62,8489.13,71.76,70.51,66.23,720.36,708.25,678.06,453.39,438.05,419.41,948.53,925.68,884.23,681.56,655.48,625.58,81.31,80.72,89.18,88.61,93.36,93.03
2020-02-15,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,9889.4248046875,43865054831,10190.04,10031.43,9679.2,9335.44,8728.68,8190.14,8897.18,10088.92,9916.74,9499.5,9394.71,9003.51,8667.31,8503.06,50.14,58.81,60.36,589.42,668.64,660.33,417.24,431.12,418.98,812.71,888.03,869.93,640.53,650.5,628.57,21.98,57.35,57.75,76.28,74.06,85.44
2020-02-16,9889.1796875,10053.96875,9722.38671875,9934.43359375,9934.43359375,43374780305,10135.28,10051.9,9730.43,9368.95,8781.01,8201.43,8896.43,10037.42,9919.46,9531.72,9429.53,9040.02,8692.4,8517.3,51.94,59.58,60.74,505.7,614.33,629.41,387.74,416.66,412.73,724.64,833.56,840.87,606.68,635.89,624.19,28.84,44.04,61.1,69.34,76.12,81.18
2020-02-17,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,9690.142578125,45998298413,10008.1,10041.32,9747.01,9393.86,8826.36,8210.2,8892.88,9921.66,9884.18,9543.45,9446.34,9065.51,8712.16,8528.97,42.28,53.72,57.6,378.21,535.62,579.17,340.73,391.35,398.33,587.92,751.68,790.28,550.44,607.41,609.44,19.21,23.34,42.93,53.93,64.97,71.72
2020-02-18,9691.23046875,10161.935546875,9632.3828125,10141.99609375,10141.99609375,47271023953,9993.62,10069.01,9788.28,9441.72,8883.34,8221.06,8891.0,9995.11,9923.84,9587.79,9491.23,9107.73,8740.47,8545.02,58.81,61.3,61.43,407.32,492.85,544.8,336.05,372.92,385.87,616.46,706.61,755.52,545.19,586.67,596.59,66.78,38.28,75.61,59.88,85.59,75.56
2020-02-19,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,9633.38671875,46992019710,9857.88,10020.68,9794.5,9474.25,8932.14,8229.82,8885.06,9874.53,9879.16,9591.17,9500.4,9128.34,8758.16,8555.85,42.74,51.14,55.57,283.36,423.02,492.51,287.99,344.61,366.3,481.73,631.65,700.76,486.36,553.23,574.55,13.24,33.08,13.24,43.93,62.38,70.98
2020-02-20,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,9608.4755859375,44925260237,9801.69,9995.86,9807.4,9503.0,8980.3,8237.75,8878.25,9785.85,9837.52,9592.45,9507.37,9147.17,8774.99,8566.33,42.08,50.7,55.3,193.4,346.48,432.69,245.07,311.43,342.05,381.07,548.12,636.82,432.74,513.07,546.18,12.09,30.7,10.61,33.15,61.24,69.74
2020-02-21,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,9686.44140625,40930547513,9752.09,9943.69,9822.08,9536.52,9034.32,8246.53,8867.65,9752.71,9814.27,9599.41,9518.92,9168.32,8793.04,8577.47,45.16,52.1,55.99,153.3,282.09,376.81,214.86,279.24,316.61,332.28,476.18,575.91,393.84,473.33,515.72,21.44,15.59,18.82,14.22,64.32,62.65
2020-02-22,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,9663.181640625,35838025154,9746.7,9877.4,9838.02,9578.41,9080.69,8256.08,8858.58,9722.87,9791.03,9604.14,9528.23,9187.73,8810.27,8588.27,44.34,51.63,55.72,118.73,227.64,325.19,186.89,248.46,290.67,288.96,413.77,518.52,357.12,434.59,484.0,22.74,18.76,16.37,15.27,62.74,62.77
2020-02-23,9663.318359375,9937.404296875,9657.791015625,9924.515625,9924.515625,41185185761,9703.2,9848.41,9869.57,9627.71,9130.97,8270.41,8848.49,9790.09,9811.57,9627.87,9553.8,9216.62,8832.34,8601.57,55.05,56.4,58.04,162.22,205.83,292.6,183.7,226.87,269.27,328.92,385.49,480.6,350.4,406.53,457.28,60.94,35.04,43.88,26.36,71.34,66.13
2020-02-24,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,9650.1748046875,45080496648,9706.56,9782.22,9893.03,9670.45,9175.74,8281.4,8836.91,9743.45,9786.74,9629.52,9560.01,9233.62,8848.53,8612.0,44.55,50.74,54.91,113.93,175.2,256.87,157.22,203.65,246.86,271.78,347.58,438.84,315.07,376.04,428.84,20.81,34.83,15.0,25.08,47.88,60.65
2020-02-25,9651.3125,9652.7373046875,9305.021484375,9341.705078125,9341.705078125,42515259129,9653.2,9727.45,9879.44,9695.28,9207.19,8289.04,8824.3,9609.53,9718.27,9608.2,9545.93,9237.86,8858.3,8619.27,35.64,45.25,51.66,1.33,117.24,205.76,110.07,172.46,219.5,145.08,280.08,380.09,253.82,335.3,393.83,4.14,28.63,3.18,20.69,17.02,45.41
2020-02-26,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,8820.5224609375,50420050762,9480.02,9616.06,9833.98,9692.31,9220.33,8294.15,8811.64,9346.53,9580.15,9549.85,9499.13,9221.49,8857.55,8621.27,25.56,37.8,46.81,-203.32,10.39,123.94,30.3,125.07,181.66,-82.15,159.34,287.64,151.47,274.02,345.36,9.31,11.42,6.62,8.27,6.62,23.84
2020-02-27,8825.09375,8932.892578125,8577.19921875,8784.494140625,8784.494140625,45470195695,9304.28,9525.49,9783.4,9673.17,9234.42,8299.93,8797.94,9159.18,9457.74,9493.16,9453.02,9204.36,8856.1,8622.89,24.99,37.35,46.5,-333.98,-104.4,32.36,-35.42,71.58,138.25,-233.71,28.32,183.37,64.85,204.3,289.26,15.08,9.51,11.75,7.18,11.02,11.55
2020-02-28,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,8672.455078125,44605450443,9053.87,9378.54,9723.77,9651.7,9250.29,8306.38,8784.39,8996.94,9336.93,9432.37,9402.67,9183.5,8852.47,8623.38,23.12,35.89,45.51,-435.43,-214.74,-61.2,-95.44,15.9,91.51,-355.92,-99.76,75.51,-15.93,130.89,228.22,12.31,12.23,9.71,9.36,9.14,8.93
2020-02-29,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,8599.5087890625,35792392544,8843.74,9275.15,9647.91,9621.38,9258.95,8315.95,8772.91,8864.46,9223.48,9370.67,9350.85,9160.6,8847.46,8623.15,21.88,34.94,44.87,-506.21,-311.9,-150.2,-147.19,-38.46,43.77,-446.55,-215.36,-28.9,-87.53,58.08,165.07,7.31,11.57,6.27,9.24,5.42,8.53
2020-03-01,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,8562.4541015625,35349164300,8687.89,9170.55,9583.2,9595.11,9269.45,8328.61,8765.46,8763.79,9121.78,9310.81,9299.98,9137.14,8841.81,8622.54,21.2,34.44,44.54,-547.02,-390.27,-229.57,-189.03,-88.65,-2.79,-505.63,-312.11,-124.25,-147.64,-10.49,102.53,6.16,8.59,5.3,7.09,4.59,6.38
